timestamp	epoch	step	accuracy	loss
1711161252.089911	0	1	0.1250	2.2902
1711161252.709933	0	2	0.1250	2.3228
1711161252.7144341	0	3	0.0625	2.3435
1711161252.718753	0	4	0.0312	2.3328
1711161252.7221	0	5	0.0938	2.3437
1711161252.725415	0	6	0.0625	2.3044
1711161252.728859	0	7	0.0625	2.2880
1711161252.732343	0	8	0.1250	2.3067
1711161252.736023	0	9	0.0938	2.3091
1711161252.739821	0	10	0.0625	2.2990
1711161252.7435899	0	11	0.1250	2.2855
1711161252.7475882	0	12	0.1250	2.3641
1711161252.752238	0	13	0.1562	2.2881
1711161252.756605	0	14	0.0938	2.3740
1711161252.7602592	0	15	0.0625	2.3168
1711161252.7640178	0	16	0.1250	2.3075
1711161252.7678962	0	17	0.1562	2.3083
1711161252.771714	0	18	0.0625	2.3069
1711161252.775477	0	19	0.1250	2.2913
1711161252.779291	0	20	0.1875	2.2350
1711161252.7830532	0	21	0.0938	2.2904
1711161252.7869608	0	22	0.0938	2.3210
1711161252.790834	0	23	0.0312	2.2996
1711161252.794589	0	24	0.1250	2.2920
1711161252.7983072	0	25	0.0938	2.2889
1711161252.801903	0	26	0.1562	2.2625
1711161252.805763	0	27	0.0625	2.3025
1711161252.809535	0	28	0.1250	2.2943
1711161252.813341	0	29	0.0938	2.2748
1711161252.81723	0	30	0.0312	2.3158
1711161252.8209121	0	31	0.0625	2.2913
1711161252.8248892	0	32	0.0938	2.2884
1711161252.828616	0	33	0.0938	2.3056
1711161252.83265	0	34	0.1875	2.2401
1711161252.8363352	0	35	0.1875	2.2787
1711161252.840142	0	36	0.2500	2.2737
1711161252.843938	0	37	0.0625	2.2976
1711161252.847643	0	38	0.1875	2.2823
1711161252.851677	0	39	0.1562	2.2614
1711161252.8553321	0	40	0.3750	2.2278
1711161252.859196	0	41	0.2812	2.2558
1711161252.8628669	0	42	0.2188	2.2691
1711161252.866857	0	43	0.2188	2.2622
1711161252.8705568	0	44	0.0625	2.2858
1711161252.874437	0	45	0.2500	2.2828
1711161252.8783581	0	46	0.2188	2.2698
1711161252.882914	0	47	0.0938	2.2720
1711161252.886668	0	48	0.2500	2.2605
1711161252.89116	0	49	0.1875	2.2762
1711161252.89499	0	50	0.1875	2.2672
1711161252.8986828	0	51	0.2500	2.2635
1711161252.902396	0	52	0.1250	2.2435
1711161252.9061818	0	53	0.2188	2.2376
1711161252.910059	0	54	0.2812	2.2454
1711161252.913886	0	55	0.2812	2.2201
1711161252.91788	0	56	0.2500	2.2385
1711161252.921747	0	57	0.1250	2.2635
1711161252.925519	0	58	0.1562	2.2554
1711161252.929343	0	59	0.1562	2.2782
1711161252.933959	0	60	0.1562	2.2571
1711161252.937815	0	61	0.1562	2.2385
1711161252.941756	0	62	0.2812	2.2480
1711161252.945618	0	63	0.1250	2.2742
1711161252.949399	0	64	0.2500	2.2279
1711161252.953322	0	65	0.1875	2.2480
1711161252.956948	0	66	0.2188	2.2881
1711161252.960742	0	67	0.2500	2.2163
1711161252.964415	0	68	0.1875	2.2191
1711161252.968205	0	69	0.2188	2.2679
1711161252.971887	0	70	0.2812	2.2093
1711161252.975871	0	71	0.2812	2.2450
1711161252.979743	0	72	0.1562	2.2604
1711161252.983626	0	73	0.2500	2.2426
1711161252.987283	0	74	0.2188	2.2385
1711161252.9910789	0	75	0.2812	2.2130
1711161252.994981	0	76	0.1875	2.2654
1711161252.998574	0	77	0.2812	2.2020
1711161253.002265	0	78	0.2500	2.2261
1711161253.0061572	0	79	0.2812	2.1994
1711161253.0098739	0	80	0.2500	2.2282
1711161253.013602	0	81	0.3438	2.2298
1711161253.01735	0	82	0.2188	2.2418
1711161253.021179	0	83	0.3125	2.2283
1711161253.0251179	0	84	0.2500	2.2381
1711161253.028821	0	85	0.3750	2.2025
1711161253.0329878	0	86	0.2500	2.2219
1711161253.0369139	0	87	0.2188	2.2209
1711161253.040912	0	88	0.3750	2.2068
1711161253.0446029	0	89	0.5000	2.1643
1711161253.048409	0	90	0.3125	2.2023
1711161253.052211	0	91	0.4375	2.1723
1711161253.0557508	0	92	0.2812	2.2020
1711161253.059695	0	93	0.2500	2.2001
1711161253.0634189	0	94	0.3750	2.1721
1711161253.0673542	0	95	0.4688	2.1770
1711161253.0710242	0	96	0.3125	2.1937
1711161253.075024	0	97	0.3438	2.2076
1711161253.078739	0	98	0.6250	2.1359
1711161253.0826728	0	99	0.4688	2.1468
1711161253.086281	0	100	0.4375	2.1463
1711161253.089963	0	101	0.4062	2.1469
1711161253.093772	0	102	0.5625	2.0994
1711161253.097455	0	103	0.4688	2.1462
1711161253.101527	0	104	0.4375	2.1109
1711161253.105185	0	105	0.4062	2.1569
1711161253.109065	0	106	0.4062	2.1229
1711161253.112828	0	107	0.4375	2.1229
1711161253.116788	0	108	0.4688	2.0993
1711161253.120544	0	109	0.5938	2.0775
1711161253.1244538	0	110	0.3750	2.1816
1711161253.128133	0	111	0.6250	2.0947
1711161253.132027	0	112	0.5000	2.0698
1711161253.135819	0	113	0.4375	2.1075
1711161253.140217	0	114	0.5625	2.1099
1711161253.143907	0	115	0.6562	2.0246
1711161253.147636	0	116	0.4062	2.1760
1711161253.151468	0	117	0.4375	2.0709
1711161253.155276	0	118	0.4688	2.1196
1711161253.158942	0	119	0.5938	2.0720
1711161253.162657	0	120	0.6875	2.0000
1711161253.166765	0	121	0.4062	2.0993
1711161253.17036	0	122	0.6250	2.0390
1711161253.174349	0	123	0.4688	2.0818
1711161253.178108	0	124	0.6250	2.0246
1711161253.1818838	0	125	0.6250	2.0613
1711161253.1856918	0	126	0.5000	2.0720
1711161253.189378	0	127	0.6250	1.9845
1711161253.193158	0	128	0.5312	2.0525
1711161253.197106	0	129	0.5938	2.0644
1711161253.201109	0	130	0.4688	2.0265
1711161253.204899	0	131	0.6250	1.9336
1711161253.2087429	0	132	0.6250	2.0089
1711161253.212617	0	133	0.5000	2.0357
1711161253.217314	0	134	0.6875	1.9349
1711161253.221201	0	135	0.5000	2.0327
1711161253.2252648	0	136	0.5312	1.9273
1711161253.2290628	0	137	0.4688	2.0327
1711161253.233035	0	138	0.6875	1.8640
1711161253.23708	0	139	0.5625	1.9828
1711161253.241442	0	140	0.6875	1.9211
1711161253.245288	0	141	0.6562	1.9192
1711161253.2492979	0	142	0.6250	1.9705
1711161253.253205	0	143	0.6250	1.9582
1711161253.257062	0	144	0.7188	1.8570
1711161253.2608588	0	145	0.5000	1.9791
1711161253.264769	0	146	0.5938	1.9386
1711161253.268388	0	147	0.6875	1.8687
1711161253.2720902	0	148	0.6562	1.8595
1711161253.275824	0	149	0.5312	1.9346
1711161253.2794821	0	150	0.6250	1.8796
1711161253.2835279	0	151	0.6250	1.8530
1711161253.287274	0	152	0.6250	1.7833
1711161253.291271	0	153	0.6875	1.7723
1711161253.29507	0	154	0.6562	1.8063
1711161253.2987719	0	155	0.6562	1.7912
1711161253.3025532	0	156	0.5000	1.8127
1711161253.306195	0	157	0.6875	1.7146
1711161253.309918	0	158	0.5625	1.7701
1711161253.313747	0	159	0.6562	1.7262
1711161253.317632	0	160	0.6562	1.6867
1711161253.3214889	0	161	0.7500	1.5944
1711161253.3254452	0	162	0.6562	1.7248
1711161253.329279	0	163	0.6875	1.7373
1711161253.333427	0	164	0.6250	1.6383
1711161253.3372722	0	165	0.6250	1.6163
1711161253.341613	0	166	0.6250	1.6611
1711161253.3453429	0	167	0.5625	1.7271
1711161253.349194	0	168	0.6875	1.5461
1711161253.3530722	0	169	0.8438	1.4053
1711161253.35678	0	170	0.5625	1.5928
1711161253.360589	0	171	0.7188	1.4919
1711161253.3643808	0	172	0.6250	1.5280
1711161253.3681412	0	173	0.5938	1.5213
1711161253.3719208	0	174	0.7188	1.3812
