timestamp	epoch	step	accuracy	loss
1727147637.466773	0	1	0.1562	2.2857
1727147638.035789	0	2	0.0938	2.2712
1727147638.041464	0	3	0.0938	2.3037
1727147638.04608	0	4	0.1250	2.2786
1727147638.051193	0	5	0.1250	2.3036
1727147638.0559769	0	6	0.0625	2.2862
1727147638.060666	0	7	0.0312	2.3711
1727147638.0652428	0	8	0.1562	2.3133
1727147638.069688	0	9	0.0312	2.3551
1727147638.074066	0	10	0.0938	2.3134
1727147638.07835	0	11	0.0938	2.2831
1727147638.084356	0	12	0.0938	2.2983
1727147638.089216	0	13	0.0312	2.3207
1727147638.093559	0	14	0.1250	2.3106
1727147638.097936	0	15	0.1250	2.3090
1727147638.102182	0	16	0.0938	2.2615
1727147638.106634	0	17	0.0938	2.2801
1727147638.111385	0	18	0.0938	2.2827
1727147638.1160169	0	19	0.1875	2.2729
1727147638.120246	0	20	0.0938	2.2687
1727147638.124566	0	21	0.2188	2.2710
1727147638.129136	0	22	0.1250	2.2544
1727147638.13352	0	23	0.0625	2.3105
1727147638.1379359	0	24	0.1250	2.2421
1727147638.142555	0	25	0.0625	2.2795
1727147638.147406	0	26	0.0938	2.2788
1727147638.1526809	0	27	0.2188	2.2354
1727147638.15804	0	28	0.1562	2.2739
1727147638.163084	0	29	0.1562	2.2542
1727147638.167594	0	30	0.1562	2.2543
1727147638.172131	0	31	0.1875	2.2157
1727147638.176827	0	32	0.1250	2.3084
1727147638.181313	0	33	0.1562	2.3090
1727147638.186408	0	34	0.0625	2.3179
1727147638.191124	0	35	0.2188	2.2599
1727147638.195592	0	36	0.1875	2.2315
1727147638.2004328	0	37	0.0938	2.2843
1727147638.204926	0	38	0.1875	2.2748
1727147638.210102	0	39	0.1250	2.2405
1727147638.214967	0	40	0.1562	2.2436
1727147638.2197518	0	41	0.1562	2.2620
1727147638.22475	0	42	0.1250	2.2743
1727147638.230237	0	43	0.1562	2.2124
1727147638.234762	0	44	0.1250	2.2657
1727147638.2394612	0	45	0.1875	2.2265
1727147638.244044	0	46	0.0938	2.2337
1727147638.249162	0	47	0.1875	2.2586
1727147638.253985	0	48	0.1250	2.2607
1727147638.259584	0	49	0.1250	2.2223
1727147638.2654998	0	50	0.1875	2.2322
1727147638.270723	0	51	0.2812	2.2015
1727147638.275556	0	52	0.1250	2.2750
1727147638.2804601	0	53	0.2188	2.2550
1727147638.286507	0	54	0.0938	2.2409
1727147638.292711	0	55	0.2188	2.2685
1727147638.298054	0	56	0.1875	2.2752
1727147638.302954	0	57	0.1250	2.2249
1727147638.308219	0	58	0.1875	2.2101
1727147638.313484	0	59	0.3125	2.2155
1727147638.319417	0	60	0.2500	2.2076
1727147638.3259032	0	61	0.2812	2.2397
1727147638.3307	0	62	0.3438	2.2364
1727147638.335747	0	63	0.2500	2.2141
1727147638.3416162	0	64	0.1875	2.2040
1727147638.346874	0	65	0.1875	2.2164
1727147638.352336	0	66	0.1562	2.2062
1727147638.357416	0	67	0.1562	2.2919
1727147638.362022	0	68	0.2188	2.2580
1727147638.3664188	0	69	0.2500	2.1792
1727147638.37095	0	70	0.1562	2.2444
1727147638.37552	0	71	0.3438	2.2427
1727147638.379912	0	72	0.0625	2.3031
1727147638.3849971	0	73	0.1875	2.2394
1727147638.389718	0	74	0.1875	2.2538
1727147638.394304	0	75	0.1250	2.3058
1727147638.398837	0	76	0.2500	2.2199
1727147638.403392	0	77	0.1875	2.2244
1727147638.408594	0	78	0.1250	2.2649
1727147638.413423	0	79	0.2188	2.2094
1727147638.418266	0	80	0.2188	2.2114
1727147638.423116	0	81	0.0312	2.2420
1727147638.4276428	0	82	0.2188	2.2433
1727147638.432189	0	83	0.1875	2.2277
1727147638.436687	0	84	0.0625	2.3013
1727147638.441212	0	85	0.2188	2.2418
1727147638.445935	0	86	0.2500	2.1975
1727147638.451443	0	87	0.1875	2.2533
1727147638.456267	0	88	0.1875	2.2126
1727147638.460979	0	89	0.1562	2.2019
1727147638.4656022	0	90	0.1875	2.3005
1727147638.4701922	0	91	0.0938	2.2424
1727147638.4747908	0	92	0.2812	2.1797
1727147638.479351	0	93	0.1562	2.2184
1727147638.484322	0	94	0.1875	2.2866
1727147638.488967	0	95	0.2500	2.2338
1727147638.4936461	0	96	0.2812	2.2036
1727147638.498239	0	97	0.2812	2.1952
1727147638.502849	0	98	0.3125	2.1898
1727147638.5079172	0	99	0.3438	2.1703
1727147638.51233	0	100	0.1562	2.2717
1727147638.517874	0	101	0.1875	2.2188
1727147638.522403	0	102	0.1875	2.2556
1727147638.52704	0	103	0.1250	2.3030
1727147638.53146	0	104	0.2500	2.2078
1727147638.535981	0	105	0.3125	2.1486
1727147638.5404449	0	106	0.3125	2.2179
1727147638.545043	0	107	0.2188	2.2678
1727147638.550354	0	108	0.1875	2.2635
1727147638.554898	0	109	0.2812	2.2333
1727147638.559864	0	110	0.2812	2.2176
1727147638.564215	0	111	0.1250	2.3276
1727147638.569867	0	112	0.2500	2.2403
1727147638.574232	0	113	0.3750	2.1993
1727147638.578659	0	114	0.2812	2.1998
1727147638.583932	0	115	0.3125	2.1889
1727147638.58863	0	116	0.2812	2.2254
1727147638.593311	0	117	0.2188	2.1688
1727147638.597864	0	118	0.2500	2.3310
1727147638.602348	0	119	0.3438	2.1717
1727147638.606713	0	120	0.1875	2.2467
1727147638.611121	0	121	0.2188	2.2207
1727147638.615629	0	122	0.2812	2.2039
1727147638.620074	0	123	0.0625	2.2529
1727147638.624667	0	124	0.2500	2.1845
1727147638.629125	0	125	0.0938	2.3039
1727147638.6337862	0	126	0.2500	2.2568
1727147638.6384	0	127	0.2500	2.1568
1727147638.643465	0	128	0.0625	2.3258
1727147638.647978	0	129	0.2812	2.1722
1727147638.652521	0	130	0.1875	2.2513
1727147638.657876	0	131	0.3750	2.2110
1727147638.6632068	0	132	0.2500	2.2201
1727147638.668056	0	133	0.2188	2.1409
1727147638.672653	0	134	0.0938	2.3382
1727147638.6779242	0	135	0.3125	2.1911
1727147638.682976	0	136	0.1875	2.2399
1727147638.687673	0	137	0.2500	2.2257
1727147638.69225	0	138	0.3125	2.2302
1727147638.6967528	0	139	0.1250	2.2427
1727147638.701411	0	140	0.3438	2.1829
1727147638.706059	0	141	0.1875	2.1887
1727147638.711641	0	142	0.1562	2.2584
1727147638.716374	0	143	0.2812	2.2369
1727147638.720875	0	144	0.2812	2.1868
1727147638.725329	0	145	0.1562	2.2324
1727147638.730453	0	146	0.2500	2.1895
1727147638.735096	0	147	0.1250	2.2374
1727147638.7396321	0	148	0.2188	2.1912
1727147638.7445068	0	149	0.2188	2.1611
1727147638.7488918	0	150	0.2188	2.2239
1727147638.7534661	0	151	0.1562	2.2486
1727147638.7590709	0	152	0.2188	2.2822
1727147638.7637482	0	153	0.1250	2.2485
1727147638.768369	0	154	0.1875	2.2437
1727147638.7729049	0	155	0.2500	2.1948
1727147638.7779899	0	156	0.2500	2.2567
1727147638.782538	0	157	0.2812	2.1266
1727147638.7870998	0	158	0.2500	2.1855
1727147638.791609	0	159	0.3438	2.1233
1727147638.796227	0	160	0.1562	2.3081
1727147638.8007529	0	161	0.1250	2.2804
1727147638.805206	0	162	0.2188	2.2303
1727147638.810584	0	163	0.1875	2.2422
1727147638.815368	0	164	0.3438	2.1722
1727147638.8198552	0	165	0.2188	2.2809
1727147638.824322	0	166	0.1562	2.2399
1727147638.828801	0	167	0.2188	2.2475
1727147638.833407	0	168	0.3438	2.1311
1727147638.8379142	0	169	0.1875	2.2445
1727147638.8430521	0	170	0.1250	2.2445
1727147638.847598	0	171	0.2188	2.3339
1727147638.8520331	0	172	0.2500	2.2399
1727147638.8566148	0	173	0.2500	2.2649
1727147638.861251	0	174	0.1875	2.3161
1727147638.865765	0	175	0.2188	2.2369
1727147638.870429	0	176	0.2188	2.2634
1727147638.8755999	0	177	0.2812	2.1590
1727147638.88049	0	178	0.2812	2.1627
1727147638.8852758	0	179	0.2500	2.2159
1727147638.889915	0	180	0.2812	2.2761
1727147638.8943949	0	181	0.2812	2.1543
1727147638.898905	0	182	0.0938	2.2977
1727147638.9033659	0	183	0.2812	2.1565
1727147638.9086761	0	184	0.1562	2.2836
1727147638.9134579	0	185	0.2812	2.1828
1727147638.917856	0	186	0.2812	2.1912
1727147638.922328	0	187	0.1250	2.2556
1727147638.926927	0	188	0.2812	2.1619
1727147638.9314299	0	189	0.0938	2.3038
1727147638.93594	0	190	0.2812	2.1658
1727147638.9414809	0	191	0.2500	2.1995
1727147638.94613	0	192	0.0938	2.3112
1727147638.950613	0	193	0.2500	2.2245
1727147638.955162	0	194	0.3750	2.1747
1727147638.960222	0	195	0.2500	2.1814
1727147638.965049	0	196	0.1250	2.2608
1727147638.969459	0	197	0.2500	2.2299
1727147638.974955	0	198	0.3125	2.2381
1727147638.979858	0	199	0.3125	2.1659
1727147638.9842649	0	200	0.2188	2.2501
1727147638.9887428	0	201	0.0938	2.2443
1727147638.993349	0	202	0.1875	2.2451
1727147638.997716	0	203	0.2188	2.2210
1727147639.001997	0	204	0.3438	2.2369
1727147639.006582	0	205	0.1875	2.2931
1727147639.01223	0	206	0.2500	2.2605
1727147639.0166059	0	207	0.3438	2.1226
1727147639.021037	0	208	0.1250	2.3740
1727147639.025507	0	209	0.2812	2.2105
1727147639.029912	0	210	0.2188	2.3705
1727147639.034492	0	211	0.3750	2.1586
1727147639.039077	0	212	0.2500	2.2033
1727147639.0438871	0	213	0.0938	2.2312
1727147639.0484962	0	214	0.1250	2.3780
1727147639.053091	0	215	0.2188	2.2445
1727147639.058164	0	216	0.3125	2.2640
1727147639.062465	0	217	0.2500	2.1753
1727147639.067009	0	218	0.1562	2.2467
1727147639.0715148	0	219	0.3125	2.1612
1727147639.0766752	0	220	0.1562	2.3176
1727147639.0812328	0	221	0.2188	2.2256
1727147639.085857	0	222	0.1875	2.3026
1727147639.090206	0	223	0.1250	2.2737
1727147639.09463	0	224	0.3125	2.2117
1727147639.099026	0	225	0.2188	2.2856
1727147639.103553	0	226	0.2500	2.2095
1727147639.110295	0	227	0.3438	2.2194
1727147639.114969	0	228	0.2188	2.3339
1727147639.1194859	0	229	0.2500	2.1985
1727147639.123986	0	230	0.2500	2.2096
1727147639.1285372	0	231	0.1875	2.3624
1727147639.133047	0	232	0.1875	2.2585
1727147639.137602	0	233	0.1562	2.2326
1727147639.1426408	0	234	0.2500	2.1933
1727147639.1471949	0	235	0.4062	2.1328
1727147639.15188	0	236	0.3125	2.1809
1727147639.156346	0	237	0.1562	2.2898
1727147639.161227	0	238	0.1875	2.2536
1727147639.1658182	0	239	0.2812	2.1900
1727147639.17065	0	240	0.2812	2.2406
1727147639.176485	0	241	0.4375	2.1224
1727147639.181824	0	242	0.1875	2.3696
1727147639.186628	0	243	0.2812	2.2517
1727147639.191175	0	244	0.2812	2.2011
1727147639.196012	0	245	0.1875	2.2662
1727147639.200552	0	246	0.3438	2.1809
1727147639.205069	0	247	0.1250	2.3059
