timestamp	epoch	step	accuracy	loss
1727146975.017314	0	1	0.1250	2.2957
1727146975.596695	0	2	0.1250	2.3013
1727146975.601495	0	3	0.0625	2.3245
1727146975.605524	0	4	0.0312	2.3062
1727146975.609602	0	5	0.0938	2.3137
1727146975.614211	0	6	0.0625	2.2850
1727146975.618094	0	7	0.0938	2.3005
1727146975.623054	0	8	0.1250	2.2951
1727146975.6274931	0	9	0.0938	2.3032
1727146975.631788	0	10	0.0625	2.2995
1727146975.636075	0	11	0.1562	2.2872
1727146975.640279	0	12	0.1250	2.3442
1727146975.645771	0	13	0.1562	2.2939
1727146975.650214	0	14	0.0938	2.3531
1727146975.654403	0	15	0.0625	2.3093
1727146975.659322	0	16	0.1250	2.3054
1727146975.663556	0	17	0.1562	2.3097
1727146975.667957	0	18	0.0938	2.2976
1727146975.6724322	0	19	0.1250	2.2966
1727146975.677084	0	20	0.2188	2.2495
1727146975.6814332	0	21	0.0938	2.2997
1727146975.685826	0	22	0.0938	2.3287
1727146975.6902158	0	23	0.0312	2.3073
1727146975.694748	0	24	0.1562	2.2944
1727146975.6992059	0	25	0.1250	2.2993
1727146975.7036202	0	26	0.0625	2.2919
1727146975.7086332	0	27	0.0000	2.3179
1727146975.713988	0	28	0.2188	2.3081
1727146975.718647	0	29	0.0938	2.2838
1727146975.723232	0	30	0.0625	2.3203
1727146975.7281878	0	31	0.0625	2.2968
1727146975.733792	0	32	0.0625	2.3013
1727146975.738626	0	33	0.0625	2.3320
1727146975.743467	0	34	0.1250	2.2743
1727146975.7479858	0	35	0.0938	2.3067
1727146975.752542	0	36	0.2812	2.2934
1727146975.757111	0	37	0.0625	2.3110
1727146975.761733	0	38	0.2188	2.2937
1727146975.766287	0	39	0.1562	2.2932
1727146975.771102	0	40	0.3125	2.2711
1727146975.7761269	0	41	0.1250	2.2965
1727146975.781203	0	42	0.2188	2.2821
1727146975.7862709	0	43	0.0938	2.2954
1727146975.791403	0	44	0.0625	2.3109
1727146975.7960289	0	45	0.1875	2.2954
1727146975.800684	0	46	0.0938	2.3095
1727146975.8055592	0	47	0.0938	2.2982
1727146975.812068	0	48	0.1562	2.2886
1727146975.817513	0	49	0.0312	2.3160
1727146975.8231392	0	50	0.0625	2.2987
1727146975.8280342	0	51	0.2188	2.2865
1727146975.83328	0	52	0.1250	2.2753
1727146975.838218	0	53	0.1875	2.2779
1727146975.84379	0	54	0.2500	2.2771
1727146975.8488262	0	55	0.2188	2.2652
1727146975.854686	0	56	0.0938	2.2934
1727146975.8597178	0	57	0.0625	2.3047
1727146975.864588	0	58	0.1250	2.2876
1727146975.869716	0	59	0.0938	2.2987
1727146975.875273	0	60	0.0938	2.2942
1727146975.8812952	0	61	0.0938	2.2809
1727146975.886921	0	62	0.2188	2.2818
1727146975.892242	0	63	0.0625	2.3089
1727146975.897629	0	64	0.0938	2.2888
1727146975.902921	0	65	0.0625	2.2917
1727146975.909012	0	66	0.1562	2.3200
1727146975.913846	0	67	0.2500	2.2694
1727146975.918737	0	68	0.1875	2.2877
1727146975.923933	0	69	0.2500	2.3215
1727146975.928394	0	70	0.1875	2.2748
1727146975.933107	0	71	0.1875	2.2963
1727146975.937749	0	72	0.1250	2.3166
1727146975.942341	0	73	0.0938	2.3099
1727146975.947208	0	74	0.0625	2.3170
1727146975.951943	0	75	0.0938	2.2935
1727146975.956531	0	76	0.1250	2.3046
1727146975.961031	0	77	0.1875	2.2970
1727146975.965555	0	78	0.1562	2.2900
1727146975.9701	0	79	0.1875	2.3125
1727146975.9745018	0	80	0.0625	2.3092
1727146975.979827	0	81	0.1562	2.3106
1727146975.984362	0	82	0.1875	2.3227
1727146975.9889228	0	83	0.1875	2.2996
1727146975.993603	0	84	0.2188	2.2979
1727146975.998091	0	85	0.0938	2.2843
1727146976.0027158	0	86	0.0938	2.3068
1727146976.007371	0	87	0.0312	2.3167
1727146976.01268	0	88	0.1562	2.2966
1727146976.017262	0	89	0.1875	2.2871
1727146976.021754	0	90	0.1250	2.3175
1727146976.026415	0	91	0.1875	2.2789
1727146976.031074	0	92	0.0625	2.2934
1727146976.035609	0	93	0.0625	2.3007
1727146976.039989	0	94	0.1562	2.2903
1727146976.0455139	0	95	0.1562	2.3203
1727146976.050095	0	96	0.1562	2.2887
1727146976.054764	0	97	0.1875	2.2843
1727146976.059289	0	98	0.1562	2.3091
1727146976.064081	0	99	0.1250	2.2860
1727146976.068715	0	100	0.1562	2.2885
1727146976.073416	0	101	0.1562	2.2877
1727146976.0789802	0	102	0.1875	2.2856
1727146976.083523	0	103	0.1250	2.2716
1727146976.0881212	0	104	0.1562	2.2739
1727146976.092993	0	105	0.1250	2.2915
1727146976.097743	0	106	0.1562	2.2917
1727146976.1047528	0	107	0.1562	2.2881
1727146976.109851	0	108	0.1562	2.3018
1727146976.114582	0	109	0.1562	2.2787
1727146976.119443	0	110	0.1250	2.3014
1727146976.1240268	0	111	0.2188	2.2892
1727146976.128636	0	112	0.3438	2.2706
1727146976.133294	0	113	0.2500	2.2866
1727146976.13841	0	114	0.2500	2.2904
1727146976.143174	0	115	0.1250	2.2686
1727146976.1477041	0	116	0.1250	2.2892
1727146976.152147	0	117	0.1562	2.2911
1727146976.1565912	0	118	0.0938	2.2972
1727146976.161103	0	119	0.1250	2.3062
1727146976.16588	0	120	0.3125	2.2736
1727146976.1704671	0	121	0.1562	2.2904
1727146976.174967	0	122	0.1875	2.2781
1727146976.180276	0	123	0.0625	2.2927
1727146976.185058	0	124	0.1562	2.2937
1727146976.1897862	0	125	0.1562	2.2954
1727146976.194649	0	126	0.1250	2.2901
1727146976.199371	0	127	0.1875	2.2846
1727146976.204276	0	128	0.1250	2.2966
1727146976.208956	0	129	0.1250	2.2865
1727146976.2135339	0	130	0.1875	2.2702
1727146976.218337	0	131	0.2500	2.2982
1727146976.2233012	0	132	0.1250	2.2984
1727146976.227823	0	133	0.2188	2.2858
1727146976.2327712	0	134	0.3125	2.2617
1727146976.238511	0	135	0.2500	2.2834
1727146976.245721	0	136	0.2812	2.2700
1727146976.252207	0	137	0.1875	2.2847
1727146976.258471	0	138	0.2188	2.2981
1727146976.2647948	0	139	0.0625	2.2973
1727146976.272251	0	140	0.1875	2.2643
1727146976.277923	0	141	0.1562	2.2915
1727146976.283359	0	142	0.2188	2.2839
1727146976.2881038	0	143	0.2188	2.2832
1727146976.2937222	0	144	0.1562	2.2798
1727146976.300386	0	145	0.2188	2.3013
1727146976.306134	0	146	0.1562	2.2939
1727146976.311508	0	147	0.2812	2.2894
1727146976.3164291	0	148	0.3125	2.2646
1727146976.321573	0	149	0.0938	2.3072
1727146976.3267741	0	150	0.0625	2.3056
1727146976.33349	0	151	0.0625	2.3036
1727146976.3405702	0	152	0.1875	2.2892
1727146976.34547	0	153	0.2500	2.2909
1727146976.351149	0	154	0.2500	2.2613
1727146976.357601	0	155	0.0938	2.2842
1727146976.363102	0	156	0.2188	2.2794
1727146976.369633	0	157	0.1875	2.2945
1727146976.3767161	0	158	0.1250	2.2980
1727146976.38272	0	159	0.1875	2.2770
1727146976.389042	0	160	0.1250	2.2845
1727146976.3945699	0	161	0.2500	2.2775
1727146976.399986	0	162	0.1875	2.2788
1727146976.406951	0	163	0.1875	2.2891
1727146976.413355	0	164	0.2188	2.2829
1727146976.41868	0	165	0.1562	2.2958
1727146976.42483	0	166	0.2188	2.2802
1727146976.431333	0	167	0.1250	2.3032
1727146976.4365928	0	168	0.1875	2.2929
1727146976.442281	0	169	0.1875	2.2814
1727146976.449149	0	170	0.1875	2.2854
1727146976.454201	0	171	0.1875	2.2782
1727146976.4599192	0	172	0.1875	2.2918
1727146976.4664	0	173	0.2188	2.2726
1727146976.473356	0	174	0.3125	2.2651
1727146976.4785228	0	175	0.2812	2.2715
1727146976.4845881	0	176	0.0938	2.2987
1727146976.489543	0	177	0.1562	2.2956
1727146976.4947488	0	178	0.2500	2.2679
1727146976.501665	0	179	0.3125	2.2591
1727146976.506772	0	180	0.1875	2.2856
1727146976.512355	0	181	0.1562	2.2963
1727146976.5190852	0	182	0.1562	2.2878
1727146976.525633	0	183	0.1562	2.2750
1727146976.530859	0	184	0.2188	2.2878
1727146976.5362492	0	185	0.1875	2.2810
1727146976.543106	0	186	0.1875	2.3012
